ID,R_min,R_max,R_mean,R_median,R_std,G_min,G_max,G_mean,G_median,G_std,B_min,B_max,B_mean,B_median,B_std,pixel_ratio,area,perimeter,circularity_laplacian,bounding_box_ratio,center_mass_x,center_mass_y
111,2,255,76.99542957042956,68.0,55.974491364225216,1,255,64.80999577345732,49.0,52.97788769433801,0,255,57.728217935910244,40.0,51.09289777810475,0.021688333333333334,520520,4161,0.37779121391292353,0.9624060150375939,2735.7652539767923,1659.0549220010757
112,0,255,73.91542804005185,63.0,59.90428842940012,0,255,57.91564783678683,47.0,51.99952187417639,0,255,57.842309932182374,45.0,54.86500518137295,0.044359166666666665,1064620,4553,0.645370610190022,0.9352941176470588,2816.5360786008155,1700.6405478010934
113,0,255,56.54241422816928,28.0,58.17161216692459,0,255,46.62733239188814,17.0,53.533163470563885,0,255,40.955591952958606,15.0,50.84805030270703,0.028797333333333335,691136,3928,0.5628989271837131,0.7320261437908496,3153.365195851468,1864.2615751458468
114,1,255,59.9264219160341,40.0,50.24056610247846,0,255,48.01742094470627,29.0,43.60346811548293,0,255,41.47479719034428,23.0,41.18359986525607,0.018531333333333334,444752,4250,0.3094210914034257,1.0176991150442478,3079.001870705472,1942.8403694643307
115,0,255,48.25757385220413,27.0,46.34631385495757,0,255,35.063826138650086,19.0,35.56704647731119,0,255,28.610703996707517,15.0,36.44290499427943,0.014578666666666667,349888,2625,0.6380875873393954,1.452054794520548,2525.476598225718,1341.7660165538687
116,0,255,44.072200246081664,29.0,41.98977782090206,0,255,34.127051159688605,18.0,36.92559199896569,0,255,23.378694099789566,14.0,29.635938111769455,0.028987666666666665,695704,4140,0.5100745817806153,0.75,2946.0954946356496,2896.0573002311326
117,0,255,79.33237697014737,75.0,55.04209463970868,0,255,63.969751094722284,57.0,49.201628088260875,0,255,44.20790551758846,35.0,37.77769459133865,0.03543516666666666,850444,4719,0.4799053934646198,0.9393939393939394,3555.332701506507,1722.1227970330792
118,0,255,51.736603188662535,30.0,50.030491788653094,0,244,43.72872882948171,19.0,45.573749576652745,0,255,43.70528468923066,19.0,46.87815091744344,0.037257,894168,5736,0.3415157224568879,1.1712328767123288,2456.0512342199677,1838.9202700163728
119,6,255,98.86679658978655,95.0,59.26082927106367,4,255,85.03650732293949,76.0,59.95046411253332,0,255,76.41388029893055,62.0,58.26662468343941,0.015522,372528,3924,0.30402604325604904,0.8699186991869918,3173.8215543529614,2664.6364085384184
120,4,255,92.23340405116332,73.0,69.91322839791547,0,255,68.99127617806808,52.0,54.7893073594909,0,255,50.79877989735645,40.0,42.85760249758821,0.02839925,681582,8785,0.11097992958420866,1.5116279069767442,3450.9704760395666,1347.1686180092784
121,1,255,52.270211297094804,42.0,40.983325918618725,0,255,40.38513111284646,30.0,33.45577913416639,0,255,38.695331545173666,25.0,37.68652622821997,0.018408125,441795,5602,0.1769067693338293,1.3235294117647058,3237.7417603187,1955.7766000067904
122,0,255,84.68429266825447,75.0,56.69897109425694,0,255,63.56085643430648,51.0,48.472602453399254,0,255,50.8648547032681,36.0,43.06832012486656,0.027151333333333333,651632,8060,0.12604980660207926,1.3220338983050848,2767.0718841309204,1791.4102576300734
123,2,255,113.03840046017251,115.0,76.30952605902499,0,255,90.63322572122132,78.0,71.50702203227968,0,255,83.88364130763853,62.0,74.75051225712275,0.0302785,726684,6537,0.2136970328867759,0.9954954954954955,2723.296068167181,1557.559904993092
124,0,255,71.88665306544281,73.0,51.874154995785375,0,255,66.42482261630896,69.0,49.83650600148139,0,255,54.12088629963777,47.0,49.178215871287854,0.032656375,783753,6799,0.21305856512847957,1.1861702127659575,2330.0511998040197,1365.1811808056875
125,0,255,65.16607852991889,52.0,54.534697858504394,0,255,54.26297588978678,45.0,47.56385767636129,0,255,38.30680913399766,23.0,47.53078171559868,0.038882208333333335,933173,7690,0.1982984634649801,0.922509225092251,3096.1940411906476,2256.209970712826
126,0,255,78.70723601667166,58.0,67.6622433210776,0,255,60.93383152478819,37.0,59.0914272771551,0,255,54.3738629014654,27.0,61.00885449992696,0.04084775,980346,6471,0.29420255873593293,0.5671140939597316,2903.9902871027166,1998.8309209197569
127,0,255,87.26003512552973,87.0,52.73402151694145,0,255,73.98492140792241,71.0,50.6352822789704,0,255,56.55249142584783,50.0,42.21195395713009,0.032170333333333336,772088,5794,0.28901453513729924,1.160220994475138,2200.4419742309165,1797.7262475261887
128,0,255,56.28725669891844,38.0,53.232464747375076,0,255,46.40260831535653,22.0,48.5437700617364,0,255,45.92863888984438,18.0,52.06759152638376,0.04239645833333333,1017515,8117,0.19407053018247608,0.9260869565217391,2121.7616035144447,2250.261844788529
129,1,255,86.14045150287609,91.0,50.60168665195235,0,255,66.3192550106193,63.0,45.54533060322647,0,255,53.573391584664705,51.0,38.58660178959806,0.030271125,726507,6526,0.2143658144226906,1.0323691460055096,3336.904855699945,2224.637556141923
130,3,255,75.02804724441967,61.0,56.05831992748551,0,255,56.8750831113589,42.0,45.47369334330291,0,255,49.09832744842966,31.0,46.40285332390269,0.02017875,484290,5646,0.19091217167800748,0.7738693467336684,2860.610960374982,2046.0251378306386
131,0,255,65.0551368869721,30.0,69.45838866925253,0,255,55.87843352375187,19.0,65.70744534650939,0,255,53.47284833352249,15.0,65.23681776870235,0.03304125,792990,6019,0.2750609179774357,0.8325358851674641,2908.8503562466108,1360.8085095650638
132,1,255,60.98309569466573,49.0,52.011325306487876,0,255,48.52503212885597,31.0,46.832681501045364,0,255,48.807368758184246,26.0,49.963818646861,0.030832875,739989,6451,0.22345035254007994,0.8318181818181818,1669.1627740412357,2495.481194990736
133,0,255,89.01089003284041,82.0,59.66821151510721,0,255,81.81622975859196,68.0,59.882759062715294,0,255,69.1552667827756,51.0,59.831293488627686,0.03890025,933606,8267,0.17166336556889578,1.1931330472103003,2545.559186637618,1509.6081966054203
134,0,255,68.1893866464966,43.0,64.73275376019184,0,255,55.55770387815444,28.0,58.853370282044494,0,255,52.63846545588943,23.0,59.837389335277486,0.038781333333333334,930752,6324,0.2924557197757202,1.0043103448275863,3235.919706860689,1017.0722931565014
135,1,255,99.67920744291325,99.0,70.1937183329122,0,255,84.23375607482858,79.0,65.87671119161732,0,255,71.149415817855,47.0,65.60661649898657,0.020028,480672,5664,0.18828347238005352,1.4324324324324325,3337.6636084481725,2173.3788591804805
136,1,255,59.077856604831226,47.0,48.69757788791372,0,255,44.63228288985817,30.0,43.03443691857957,0,255,44.946043757773225,28.0,45.08026509670401,0.035679375,856305,4256,0.5940665582315287,1.1851851851851851,2943.5598180554825,2257.0363702185555
137,0,255,90.20255033971111,87.0,61.477050012937454,0,255,71.04232314585599,61.0,55.606699027661485,0,255,59.8059501499973,47.0,49.7903372795414,0.0216115,518676,5330,0.22943073631048946,0.8730305838739574,2919.109156776099,2082.60710154316
138,0,255,54.9128830345788,41.0,48.7291049441437,0,255,40.485532607228365,24.0,41.509618208895525,0,255,31.124634283237775,18.0,37.48206589845655,0.029323125,703755,4979,0.35673613679178895,0.7918552036199095,2931.828069427571,2261.12484032085
